Time,UV 2,UV 1,Blue,Green,Lime,Orange,Red,Farred 1,Farred 2,5000 K
0.079513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.165485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.262715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.349189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.435228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.607387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.692944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.779721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.865447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.952072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.037422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.123884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.212975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.307696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.401974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.488616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.57482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.660685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.749557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.835941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.921391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.007818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.093568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.180353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.265701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.352127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.446594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.544326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.630781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.716785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.802672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.888502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.974655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.146494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.23298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.319376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.404842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
